feature	s__Methanobrevibacter_smithii	s__Actinomyces_sp_ICM58	s__Trueperella_pyogenes	s__Bifidobacterium_adolescentis	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_catenulatum	s__Bifidobacterium_dentium	s__Bifidobacterium_longum	s__Bifidobacterium_pseudocatenulatum	s__Rothia_mucilaginosa	s__Isoptericola_variabilis	s__Lancefieldella_parvula	s__Collinsella_aerofaciens	s__Collinsella_bouchesdurhonensis	s__Collinsella_tanakaei	s__Senegalimassilia_anaerobia	s__Adlercreutzia_equolifaciens	s__Eggerthellaceae_bacterium	s__Eggerthella_lenta	s__Slackia_isoflavoniconvertens	s__Bacteroidaceae_bacterium	s__Bacteroides_caccae	s__Bacteroides_cellulosilyticus	s__Bacteroides_clarus	s__Bacteroides_eggerthii	s__Bacteroides_faecis	s__Bacteroides_finegoldii	s__Bacteroides_fragilis	s__Bacteroides_intestinalis	s__Bacteroides_nordii	s__Bacteroides_ovatus	s__Bacteroides_salyersiae	s__Bacteroides_stercoris	s__Bacteroides_thetaiotaomicron	s__Bacteroides_uniformis	s__Bacteroides_xylanisolvens	s__Phocaeicola_dorei	s__Phocaeicola_massiliensis	s__Phocaeicola_vulgatus	s__Barnesiella_intestinihominis	s__Coprobacter_fastidiosus	s__Coprobacter_secundus	s__Butyricimonas_faecihominis	s__Butyricimonas_paravirosa	s__Odoribacter_splanchnicus	s__Paraprevotella_clara	s__Prevotella_copri_clade_A	s__Prevotella_histicola	s__Prevotella_marseillensis	s__Alistipes_communis	s__Alistipes_finegoldii	s__Alistipes_ihumii	s__Alistipes_indistinctus	s__Alistipes_inops	s__Alistipes_onderdonkii	s__Alistipes_putredinis	s__Alistipes_senegalensis	s__Alistipes_shahii	s__Parabacteroides_distasonis	s__Parabacteroides_merdae	s__Gemella_morbillorum	s__Granulicatella_adiacens	s__Enterococcus_faecalis	s__Enterococcus_faecium	s__Lacticaseibacillus_paracasei	s__Lacticaseibacillus_rhamnosus	s__Lactobacillus_delbrueckii	s__Lactobacillus_gasseri	s__Ligilactobacillus_salivarius	s__Limosilactobacillus_fermentum	s__Limosilactobacillus_oris	s__Lactococcus_lactis	s__Streptococcus_anginosus	s__Streptococcus_constellatus	s__Streptococcus_cristatus	s__Streptococcus_gordonii	s__Streptococcus_infantis	s__Streptococcus_mitis	s__Streptococcus_mutans	s__Streptococcus_oralis	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_sp_263_SSPC	s__Streptococcus_thermophilus	s__Candidatus_Avimicrobium_caecorum	s__Clostridia_bacterium	s__Clostridia_bacterium_UC5_1_1D1	s__Clostridiaceae_bacterium	s__Clostridiaceae_bacterium_OM08_6BH	s__Clostridium_disporicum	s__Clostridium_fessum	s__Clostridium_paraputrificum	s__Clostridium_phoceensis	s__Clostridium_sp_AF20_17LB	s__Clostridium_sp_AF34_10BH	s__Clostridium_sp_AM22_11AC	s__Clostridium_sp_AM33_3	s__Clostridium_sp_AM49_4BH	s__Clostridium_sp_AT4	s__Hungatella_hathewayi	s__Mogibacterium_diversum	s__Clostridiales_bacterium	s__Clostridiales_bacterium_KLE1615	s__Evtepia_gabavorous	s__Intestinimonas_butyriciproducens	s__Eubacteriaceae_bacterium	s__Eubacterium_ramulus	s__Eubacterium_sp_AM28_29	s__Eubacterium_ventriosum	s__Anaerobutyricum_hallii	s__Anaerostipes_caccae	s__Anaerostipes_hadrus	s__Anaerotignum_faecicola	s__Anaerotignum_lactatifermentans	s__Blautia_faecis	s__Blautia_glucerasea	s__Blautia_massiliensis	s__Blautia_obeum	s__Blautia_producta	s__Blautia_sp_OF03_15BH	s__Blautia_wexlerae	s__Coprococcus_catus	s__Coprococcus_comes	s__Dorea_formicigenerans	s__Dorea_longicatena	s__Dorea_sp_AF24_7LB	s__Dorea_sp_AF36_15AT	s__Eisenbergiella_massiliensis	s__Eisenbergiella_tayi	s__Enterocloster_aldensis	s__Enterocloster_asparagiformis	s__Enterocloster_bolteae	s__Enterocloster_citroniae	s__Enterocloster_clostridioformis	s__Enterocloster_lavalensis	s__Faecalicatena_contorta	s__Faecalicatena_fissicatena	s__Fusicatenibacter_saccharivorans	s__Clostridium_symbiosum	s__Eubacterium_rectale	s__Lachnospiraceae_bacterium	s__Lachnospiraceae_bacterium_WCA3_601_WT_6H	s__Lachnospira_eligens	s__Lachnospira_pectinoschiza	s__Lacrimispora_amygdalina	s__Lacrimispora_celerecrescens	s__Mediterraneibacter_glycyrrhizinilyticus	s__Ruminococcus_gnavus	s__Ruminococcus_lactaris	s__Ruminococcus_torques	s__Roseburia_faecis	s__Roseburia_hominis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Sellimonas_intestinalis	s__Tyzzerella_nexilis	s__Dysosmobacter_welbionis	s__Oscillibacter_sp_ER4	s__Intestinibacter_bartlettii	s__Romboutsia_timonensis	s__Agathobaculum_butyriciproducens	s__Anaerotruncus_colihominis	s__Anaerotruncus_rubiinfantis	s__Candidatus_Cibiobacter_qucibialis	s__Faecalibacterium_prausnitzii	s__Flavonifractor_plautii	s__Gemmiger_formicilis	s__Ruminococcaceae_bacterium	s__Ruminococcus_bromii	s__Ruminococcus_sp_NSJ_71	s__Ruthenibacterium_lactatiformans	s__Catenibacterium_sp_AM22_15	s__Coprobacillus_cateniformis	s__Dielma_fastidiosa	s__Clostridium_innocuum	s__Erysipelatoclostridium_ramosum	s__Faecalibacillus_intestinalis	s__Turicibacter_sanguinis	s__Firmicutes_bacterium_AF16_15	s__Acidaminococcus_intestini	s__Phascolarctobacterium_faecium	s__Phascolarctobacterium_succinatutens	s__Megamonas_funiformis	s__Allisonella_histaminiformans	s__Anaeroglobus_geminatus	s__Colibacter_massiliensis	s__Dialister_invisus	s__Dialister_pneumosintes	s__Megasphaera_micronuciformis	s__Veillonella_atypica	s__Veillonella_dispar	s__Veillonella_parvula	s__Veillonella_rogosae	s__Fusobacterium_nucleatum	s__Fusobacterium_pseudoperiodonticum	s__Parasutterella_excrementihominis	s__Sutterella_wadsworthensis	s__Bilophila_wadsworthia	s__Desulfovibrionaceae_bacterium	s__Desulfovibrio_piger	s__Campylobacter_concisus	s__Campylobacter_gracilis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Aggregatibacter_segnis	s__Aggregatibacter_sp_oral_taxon_458	s__Haemophilus_parainfluenzae	s__Akkermansia_muciniphila	s__Unknown
HAA.29	0	0	0	0	0	1984	0	8683	695463	0	2406	3675	0	204127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1853920	0	0	1893827	0	0	15463	128403	0	0	0	16383479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17118	0	458	0	0	0	0	0	0	78502	0	1157337	6629	0	21636	1469	1581	3635	0	12357	4088	7120	398236	5421	3623	26499	0	0	0	0	0	0	0	0	0	0	0	737833	0	0	18546	0	0	0	0	0	0	0	0	0	0	0	0	629660	0	0	31874	0	859984	18744	0	0	357954	0	0	0	66514	0	0	0	0	0	0	0	0	0	0	0	0	254263	0	330191	17772	0	0	45688	0	109975	0	272636	353661	0	0	0	0	0	12181	0	0	0	0	0	0	0	0	0	371655	0	1613967	0	0	0	0	0	0	0	0	57193	0	0	36004	0	0	0	0	0	0	1451	954	19587	34158	408235	418615	256289	0	6063	546	0	0	0	0	0	5089	3842	16400	0	0	0	139258	0	0
HAA.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3169	1921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9272	0	0	0	0	0	0	0	0	2197	5678	21809	0	0	0	756716	0	315219	0	0	0	0	14876287	8314050	0	0	0	0	0
HAA.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667	282	21468	0	0	0	0	0	0	0	0	12154791	10718	0	3415627	0	0	2135827	589268	1118	16867	0	6568060	70018	0	0	0	0	2390306	0	0	0	0	13094	247835	168224	225807	0	0	6946	0	158427	1251180	0	0	0	11104	190753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23533	879	199471	0	0	0	0	289	0	0	0	0	0	414	197851	0	40577	0	0	0	0	0	0	0	18401	36021	0	0	0	0	0	0	0	3722	0	0	0	0	4381	15530	0	0	642178	378444	3795	28429	67243	4892	5776	0	4399	0	0	74453	0	23575	0	0	0	0	0	0	0	0	1100657	0	74	0	28900	101823	0	29805	0	8815	0	0	39308	0	0	0	134788	0	5470	0	0	654701	0	2733	0	184571	42886	0	0	0	0	0	0	0	0	71159	1430	36366	0	0	0	0	0	0	0	0	0	0	203709	869301	0	0	0	77284	0	0	0	0	0	37247
HAA.14	0	8743	0	0	0	0	0	2741559	297028	0	1271	1694	1598	1967553	7609	925179	0	0	0	870	0	0	1400831	0	21024	0	0	0	2143195	6808	0	2270919	11407	0	5679466	31378	2501	11945720	0	0	0	0	0	0	0	1865	0	0	1483	0	0	0	0	0	0	1422	0	0	0	6336	0	0	0	0	2689774	0	0	0	0	0	0	0	181091	20804	293	0	0	0	426	0	3038	110484	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110923	0	0	0	0	0	0	0	0	0	27569	6432	0	0	2308	180218	0	0	0	6159	0	59787	0	0	0	141253	0	0	0	0	0	0	153527	8528	0	2086	0	0	0	0	0	0	0	0	0	0	0	0	2902842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	0	0	0	0	0	0	0	0	0	105692	1562154	0	0	0	0	0	0	0	0	0	0	0	0	110214	847451	478223	696377	0	0	0	0	533590	0	0	0	3469	0	7227293	0	0	0	0	0	20847
HAA.11	0	0	0	0	0	0	0	0	0	744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5804	1735314	0	25946	0	0	642682	0	0	0	806387	15632	5144148	0	351455	0	0	0	2383	0	2539	0	221394	0	12310	0	0	6467	0	1172	2010	0	0	7648	94033	95162	0	0	0	10559	0	0	17892	29898	0	225	37	0	31	0	0	0	0	0	0	0	2071	8365	0	0	0	24114	0	39928	12027	0	23567	0	7284	0	0	1088	0	648	0	0	0	3192	0	0	0	0	2188	0	0	1803	0	20754	3251	0	45313	0	0	9462	0	0	11833	8390	2243	308	97471	0	0	0	0	0	0	1593	0	0	0	0	0	11518	976	15988	2343	0	2284932	0	0	13128	0	115357	159889	47087	11842	0	0	21739	0	0	0	0	0	0	10730	0	0	0	8491	5943	8157	0	0	0	0	0	0	0	0	2724	0	0	27558	0	0	0	5546	0	0	0	0	0	0	34859	25739	31678	0	11680	990	0	3792	0	0	0	1758	253	0	0	0	0	15657	0	11517
HAA.10	0	0	0	0	0	25247	0	107690	104768	0	0	4580	13001	78502	0	31718	0	4638	0	29021	0	0	141490	0	0	5005	0	0	0	0	4911	543519	0	0	43302	160975	0	68522	62261	680766	50609	0	0	0	0	27074	0	6809440	0	0	0	601	0	0	0	34003	33022	374	4579	82902	53935	1035	556	0	0	0	0	0	3096	0	5976	0	9184	65644	317	0	9326	84	0	10729	15562	143573	959207	2052	0	1899	79758	7513	71260	57458	0	24799	1155	49	0	169554	74321	13487	0	1791	4165	3629	854	34262	0	0	0	39755	0	48508	94257	0	261996	233952	0	101944	0	328162	107623	0	82035	413754	33536	269764	83718	45415	606	12627	1837	0	0	0	2460	7223	0	0	4333	356731	256730	0	0	133326	29704	16800	94477	212543	59342	2401	421164	0	35673	0	0	0	1722372	16477	389942	465	0	0	0	39096	0	64	6912	926095	21995	207075	336	0	0	14684	62246	0	4233	35705	34603	166261	0	282632	0	0	0	0	0	0	1389	3454	0	67507	892647	548198	668564	0	34789	10981	2465	84386	5558	0	0	18900	7063	129109	0	24998	0	99784	0	48649
HAA.05	289	0	0	1795665	536438	0	0	0	541916	0	0	0	0	230809	0	0	0	0	0	2368	0	0	10512	0	0	0	0	0	9577	0	0	142154	8460	0	34002	22933	0	661993	78123	470	13654	0	0	0	0	0	0	2818172	0	0	0	0	0	0	0	6323	363	0	1566	25377	8241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14188	0	1324	0	3458	2662	0	361962	0	0	6140	0	641073	16672	0	0	1546	0	0	6511	0	0	0	708	0	15016	239174	0	274988	70817	0	133811	0	14176	11765	0	8246	76743	0	35476	36791	28270	0	1183	0	0	668	0	1370	3446	0	777	0	7999	50680	2421	7128	135375	0	0	0	282882	9503	0	917	4747	10767	0	0	0	11144	0	0	0	0	2033	0	305	0	0	0	154224	14271	0	0	0	0	0	0	0	0	1164	0	21271	0	8780	0	0	71878	0	0	0	0	0	5417	3852	22662	3123	1727	0	0	0	340	233441	22226	0	135	0	0	78400	0	0	0	887	0	19477
HAA.03	0	0	0	0	0	0	0	0	0	0	0	0	0	5750	0	0	3522	0	0	0	0	0	211430	26134	33961	0	31687	105420	0	0	0	177457	0	0	608568	150480	24570	4934	733975	6699598	8257	17748	0	29662	0	35252	46889	7826301	0	0	0	163	0	0	0	7878	1374	0	0	148443	12883	0	0	0	0	0	0	0	0	3627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	1622	2629	37034	0	0	504	34449	13283	585	0	0	3179	0	0	0	0	0	0	8693	0	444	4734	0	3676	0	0	964	0	4563	3450	0	0	76246	10018	3035	5046	36168	0	0	0	0	0	0	0	3783	0	0	0	8758	19270	0	0	60157	0	0	79782	3429	8522	0	102284	0	13354	0	0	0	16141	0	0	0	0	1170	0	0	3255	0	0	519412	14325	0	0	0	0	0	0	0	3237	0	36040	40645	0	0	0	0	0	394739	0	0	0	0	0	0	5000	0	34384	0	0	0	0	94568	7324	0	0	0	0	0	166639	0	0	836	0	925
HAA.02	0	0	0	0	0	0	0	598	3973	0	1780	0	0	2126	0	0	0	0	0	14727	0	0	0	0	0	0	0	0	2521871	0	0	206	0	0	1400701	1132991	817300	0	0	2235915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1337	0	573	0	5932	53648	0	0	0	0	1376	555	5315	11389	2015	0	207177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7409	0	0	0	0	8181	0	0	0	156106	0	0	940	0	0	0	0	0	38798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	748	0	0	91766	0	0	0	0	0	12830	0	27709	0	0	0	0	0	0	0	0	197484	38770	0	0	0	0	105266	0	0	0	0	2793	9641	0	0	0	0	0	0	0	10204	5039	3027	0	0	0	28011	43042	2405	14076	0	0	1224	0	0	0	0	0	602212	0	0	0	1557	0	2927
HAA.026	0	0	0	177	0	1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4088	0	0	0	0	0	0	0	3232	6523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23224	0	0	0	0	4272	0	9242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	2404	0	0	0	0	0	0	0	0	0	0	0	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3005	0	0	0	9683	33069	0	1963	92054	20812	351955	1605307	1936	0	0	105415	0	0	0	0	209935	330	3327	0	0	0	0	21173	0
HAA.01	0	221	0	0	0	0	0	423061	725245	0	0	0	1570	34237	0	0	0	0	0	9141	13387	811842	559432	0	0	0	272447	27633	10308	0	0	0	0	1005962	366630	727357	126113	0	0	5599141	0	0	570741	946348	0	0	0	3214868	0	0	0	0	79382	29542	13253	0	6860	0	0	229028	224460	0	0	0	0	0	1717	90879	67409	179698	36396	1292	0	610	0	0	0	0	10588	12679	3960	26019	25345	0	16447	0	7416	0	24110	0	0	0	0	8979	0	0	0	0	0	0	0	0	16650	0	0	44316	0	0	0	0	0	0	204921	0	0	84573	0	0	0	1316	0	59080	0	5658	19616	13754	0	0	0	817	82251	0	90367	31808	0	0	0	0	56353	29230	0	48478	10340	0	0	0	29875	0	13025	50190	0	0	10199	0	0	0	0	170138	0	40777	0	11834	0	6217	0	898701	33387	195022	0	0	0	11633	0	0	0	3267	2192	5506	1224	0	0	35364	0	0	5668	0	0	0	0	106418	444072	18631	105765	0	0	0	0	993798	27166	0	0	0	0	143837	0	0	0	0	1052230	1331
BB.138	0	0	0	0	0	0	0	0	8052	0	0	0	0	0	0	0	0	0	0	0	0	163027	13695	209784	63174	3631	0	10295	0	0	0	421826	79208	248165	178834	277920	0	22608	0	1959383	0	0	0	1607	30027	16977	47717	0	0	0	0	4797	361	0	0	0	21121	0	2201	31331	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2802	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	1654	0	0	0	0	0	0	0	0	0	0	0	1444	0	0	0	6297	0	0	0	1899	0	0	0	0	0	0	107333	0	0	16016	0	0	0	0	0	16845	0	0	0	569	0	0	5124	0	0	0	0	0	0	12249	0	5344	0	0	0	2599	0	0	857	339696	0	0	0	0	0	0	0	0	0	3616	0	0	0	0	0	0	280	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	2939	0	0	0	0	0	3133
BB.134	0	0	0	39170	0	0	0	0	0	0	0	0	0	31198	0	0	0	10798	3481	4015	0	0	191465	352	0	0	0	14861	0	0	2654	264832	25470	351949	26885	48021	0	0	0	449798	120445	0	0	0	85262	312694	0	10385473	0	299	4353	0	6428	0	0	162652	773422	0	110731	48667	136414	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	2139	0	18510	0	17552	20988	0	60224	0	5530	91	15476	84757	2369	16200	0	0	0	3272	19306	12778	0	731	46628	76638	12070	86959	0	31145	56856	0	34793	1105	25686	7727	0	1965	62658	8565	35106	19379	182851	5029	566	0	0	0	1124	2314	1245	0	0	0	117019	61841	0	596449	138961	842	38668	0	55682	2302	0	0	0	36795	0	17455	0	138866	0	0	9163	224903	4821	0	27876	0	0	19191	193225	0	351587	31143	0	0	3048	0	276	0	0	4191	0	0	13227	0	123825	0	0	0	0	0	66713	814	0	0	0	4400	0	0	0	0	466977	7189	2291	0	0	0	52827	0	0	0	8606	0	766210
BB.127	0	0	0	0	0	0	0	0	1463	0	0	0	0	1198	0	0	0	0	0	0	0	0	436747	0	0	0	0	0	0	0	0	35874	0	14910	244930	169899	0	1527627	0	476203	0	0	0	0	0	0	0	17897293	0	0	0	0	0	0	0	0	0	0	0	263584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	902	0	0	0	0	0	0	50331	0	0	0	0	1308732	37974	0	16878	0	0	0	0	0	0	0	0	0	0	0	0	4232	0	0	0	0	46540	0	0	0	37590	0	0	0	41650	0	0	0	0	0	0	290935	0	0	0	0	0	0	0	0	117190	59	0	0	0	0	0	0	0	5910	0	1292	0	0	0	0	0	0	0	0	2712	0	0	0	138449	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	21246	0	162	0	0	0	0	0	866	1312	1197	0	0	0	0	704641	0	0	0	0	0	0	2964235	0	0	0	0	0
BB.126	0	0	0	9421	40711	0	20396	1560	27211	6101	807	0	0	118619	0	22	0	0	0	9700	0	0	0	6300	0	67917	0	0	437672	0	0	207611	0	0	63087	1668360	0	0	0	48913	31915	22120	2155	24481	2907	19301	0	28981	0	159350	19545	17038	168635	83522	0	11147	32805	0	5188	20044	25564	0	0	0	0	0	0	0	2893	0	0	0	0	861	0	0	0	0	0	237	654	2327	0	0	910	49	16182	0	0	0	0	0	0	22207	6026	0	0	0	0	0	98225	0	1970	9418	8749	30654	0	0	0	7637	323760	0	104641	0	442	29115	0	83311	1332	0	0	153878	0	0	3355	30137	15939	3305	69649	28040	8685	1922	112728	17418	870	0	2512	0	0	21185	1413	48013	60335	608	6995	0	0	0	54680	12205	102478	0	35952	0	215	18620	0	35444	1174	0	0	0	3469	0	21744	8088	69223	122834	0	0	1164	123054	0	6858	3438	6482	65181	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	6581	0	461	0	0	32497	10126	700	0	0	0	375174	2070735	0	0	2421	0	59303
BB.123	0	0	0	0	26186	0	955	1388	2478	0	0	0	396	14426	1258	0	2080	0	0	0	0	5027	148266	38067	1195	0	0	114842	0	0	0	3188	0	0	23823	27331	0	611391	48603	625215	191134	153303	0	408069	0	241377	0	0	0	0	0	0	0	0	16577	24685	329370	0	14219	76839	74373	0	0	0	0	0	0	0	0	5960	0	0	0	52204	2036	0	0	0	5047	0	21345	13420	0	965	0	0	17076	156	0	678	0	0	0	1654	0	0	42094	0	0	5897	1906	17	16013	0	19232	30077	0	0	10911	0	9822	0	0	0	4711	5525	0	8740	0	0	0	1856	22719	31042	32003	71962	0	1150	0	1327	2376	1173	4593	9730	0	0	0	0	9598	0	5464	23741	499	0	32466	69041	0	0	98580	0	17058	0	0	0	102830	3468	0	4768	0	0	0	6344	0	0	0	19559	17053	133538	0	0	0	38619	1113	0	0	0	2690	1403	0	9688	196411	0	7680	0	7154	0	0	2111	6543	13132	46461	1437	23763	6435	14611	4612	0	110620	7234	0	7850	0	0	1565	0	1566	0	24499	0	0
BB.122	0	0	0	0	0	8229	0	0	10347	0	0	0	0	4202	0	0	397	0	9072	1903	101	0	959323	4251581	3045630	3659	0	1013496	32602	186916	504482	1060875	0	0	310139	2066033	812093	10361212	0	940726	1297	0	0	0	28476	134699	0	0	0	0	0	40000	246	0	0	49125	27861	0	0	1324775	0	0	0	331	0	0	884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7082	0	0	0	59633	0	0	0	0	0	0	0	0	0	0	0	1840	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1426	0	34087	195	0	0	0	0	0	0	0	27636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39176	0	0	0	0	0	0	0	13328	264305	4134	23231	0	0	0	0	0	0	0	23140	2122	0	0	0	422057	7764	0	0	0	0	0	0	0	0	0	503	295	0	0	0	0	78069	0	0	0	0	0	992	0	0	0	0	192	350
